run,randomSeed,stopTime,manip,numPlayers,strat,network
12,25869613,500,NONE,169,PRICE,LATTICE
127,25882963,500,NONE,324,PRICE,LATTICE
342,25895495,500,NONE,529,PRICE,LATTICE
457,25913122,500,NONE,784,PRICE,LATTICE
63,25929333,500,NONE,900,PRICE,LATTICE
78,25967969,500,BIAS_BOX,144,PRICE,LATTICE
93,25976735,500,BIAS_BOX,289,PRICE,LATTICE
117,25971372,500,BIAS_BOX,625,PRICE,LATTICE
125,25876439,500,BIAS_BOX,784,COIN_FLIP,LATTICE
140,25877073,500,FAV_PLAYER,100,COIN_FLIP,LATTICE
155,25877133,500,FAV_PLAYER,225,COIN_FLIP,LATTICE
170,25877224,500,FAV_PLAYER,400,COIN_FLIP,LATTICE
185,25877358,500,FAV_PLAYER,625,COIN_FLIP,LATTICE
200,25877706,500,FAV_PLAYER,900,COIN_FLIP,LATTICE
215,25878146,500,FREE_BOX,144,COIN_FLIP,LATTICE
230,25878217,500,FREE_BOX,289,COIN_FLIP,LATTICE
2248,25878326,500,FREE_BOX,529,COIN_FLIP,LATTICE
2263,25878658,500,FREE_BOX,784,COIN_FLIP,LATTICE
275,25879127,500,FREE_BOX,1024,COIN_FLIP,LATTICE
290,25880028,500,LIM_ED,196,COIN_FLIP,LATTICE
305,25880089,500,LIM_ED,361,COIN_FLIP,LATTICE
320,25880184,500,LIM_ED,576,COIN_FLIP,LATTICE
335,25880317,500,LIM_ED,841,COIN_FLIP,LATTICE
6,25869690,500,NONE,121,PRICE,LATTICE
21,25880401,500,NONE,256,PRICE,LATTICE
36,25890439,500,NONE,441,PRICE,LATTICE
51,25906396,500,NONE,676,PRICE,LATTICE
66,25932948,500,NONE,961,PRICE,LATTICE
81,25972703,500,BIAS_BOX,169,PRICE,LATTICE
96,25982502,500,BIAS_BOX,324,PRICE,LATTICE
152,25876615,500,FAV_PLAYER,196,COIN_FLIP,LATTICE
167,25876711,500,FAV_PLAYER,361,COIN_FLIP,LATTICE
182,25876884,500,FAV_PLAYER,576,COIN_FLIP,LATTICE
220,25877745,500,FREE_BOX,196,ALWAYS_BUY,LATTICE
287,25879428,500,LIM_ED,169,COIN_FLIP,LATTICE
302,25879484,500,LIM_ED,324,COIN_FLIP,LATTICE
317,25879589,500,LIM_ED,529,COIN_FLIP,LATTICE
332,25879759,500,LIM_ED,784,COIN_FLIP,LATTICE
9,25870727,500,NONE,144,PRICE,LATTICE
24,25882340,500,NONE,289,PRICE,LATTICE
39,25893480,500,NONE,484,PRICE,LATTICE
54,25910033,500,NONE,729,PRICE,LATTICE
69,25938691,500,NONE,1024,PRICE,LATTICE
84,25982051,500,BIAS_BOX,196,PRICE,LATTICE
99,25991663,500,BIAS_BOX,361,PRICE,LATTICE
116,25875158,500,BIAS_BOX,625,COIN_FLIP,LATTICE
131,25875673,500,BIAS_BOX,900,COIN_FLIP,LATTICE
146,25876596,500,FAV_PLAYER,144,COIN_FLIP,LATTICE
161,25876666,500,FAV_PLAYER,289,COIN_FLIP,LATTICE
176,25876790,500,FAV_PLAYER,484,COIN_FLIP,LATTICE
191,25877009,500,FAV_PLAYER,729,COIN_FLIP,LATTICE
206,25877367,500,FAV_PLAYER,1024,COIN_FLIP,LATTICE
221,25878028,500,FREE_BOX,196,COIN_FLIP,LATTICE
236,25878129,500,FREE_BOX,361,COIN_FLIP,LATTICE
251,25878337,500,FREE_BOX,576,COIN_FLIP,LATTICE
266,25878743,500,FREE_BOX,841,COIN_FLIP,LATTICE
281,25879514,500,LIM_ED,121,COIN_FLIP,LATTICE
296,25879560,500,LIM_ED,256,COIN_FLIP,LATTICE
311,25879637,500,LIM_ED,441,COIN_FLIP,LATTICE
326,25879787,500,LIM_ED,676,COIN_FLIP,LATTICE
341,25880030,500,LIM_ED,961,COIN_FLIP,LATTICE
14,25871930,500,NONE,196,COIN_FLIP,LATTICE
29,25872848,500,NONE,361,COIN_FLIP,LATTICE
44,25873512,500,NONE,576,COIN_FLIP,LATTICE
59,25874236,500,NONE,841,COIN_FLIP,LATTICE
74,25875452,500,BIAS_BOX,121,COIN_FLIP,LATTICE
89,25875523,500,BIAS_BOX,256,COIN_FLIP,LATTICE
104,25875690,500,BIAS_BOX,441,COIN_FLIP,LATTICE
119,25876020,500,BIAS_BOX,676,COIN_FLIP,LATTICE
134,25876553,500,BIAS_BOX,961,COIN_FLIP,LATTICE
149,25877512,500,FAV_PLAYER,169,COIN_FLIP,LATTICE
164,25877571,500,FAV_PLAYER,324,COIN_FLIP,LATTICE
179,25877707,500,FAV_PLAYER,529,COIN_FLIP,LATTICE
194,25877939,500,FAV_PLAYER,784,COIN_FLIP,LATTICE
209,25878268,500,FREE_BOX,100,COIN_FLIP,LATTICE
224,25878316,500,FREE_BOX,225,COIN_FLIP,LATTICE
239,25878419,500,FREE_BOX,400,COIN_FLIP,LATTICE
254,25878633,500,FREE_BOX,625,COIN_FLIP,LATTICE
269,25879007,500,FREE_BOX,900,COIN_FLIP,LATTICE
284,25879701,500,LIM_ED,144,COIN_FLIP,LATTICE
299,25879747,500,LIM_ED,289,COIN_FLIP,LATTICE
314,25879844,500,LIM_ED,484,COIN_FLIP,LATTICE
329,25880004,500,LIM_ED,729,COIN_FLIP,LATTICE
344,25880230,500,LIM_ED,1024,COIN_FLIP,LATTICE
15,25872569,500,NONE,196,PRICE,LATTICE
30,25883629,500,NONE,361,PRICE,LATTICE
45,25897429,500,NONE,576,PRICE,LATTICE
60,25918100,500,NONE,841,PRICE,LATTICE
75,25952187,500,BIAS_BOX,121,PRICE,LATTICE
90,25956487,500,BIAS_BOX,256,PRICE,LATTICE
105,25968992,500,BIAS_BOX,441,PRICE,LATTICE
5,29080477,500,NONE,100,PRICE,WATTS
20,29091110,500,NONE,400,ALWAYS_BUY,RANDOM
35,29091761,500,NONE,600,PRICE,WATTS
50,29141109,500,NONE,900,ALWAYS_BUY,RANDOM
65,29150400,500,BIAS_BOX,100,PRICE,WATTS
80,29160396,500,BIAS_BOX,400,ALWAYS_BUY,RANDOM
95,29160916,500,BIAS_BOX,600,PRICE,WATTS
110,29219968,500,BIAS_BOX,900,ALWAYS_BUY,RANDOM
125,29229914,500,FAV_PLAYER,100,PRICE,WATTS
140,29249242,500,FAV_PLAYER,400,ALWAYS_BUY,RANDOM
155,29249814,500,FAV_PLAYER,600,PRICE,WATTS
170,29949194,500,FAV_PLAYER,900,ALWAYS_BUY,RANDOM
185,29958230,500,FREE_BOX,100,PRICE,WATTS
200,29983050,500,FREE_BOX,400,ALWAYS_BUY,RANDOM
215,29983434,500,FREE_BOX,600,PRICE,WATTS
230,30139616,500,FREE_BOX,900,ALWAYS_BUY,RANDOM
245,30148232,500,LIM_ED,100,PRICE,WATTS
260,30176174,500,LIM_ED,400,ALWAYS_BUY,RANDOM
271,29155488,500,LIM_ED,600,ALWAYS_BUY,WATTS
286,29155658,500,LIM_ED,800,COIN_FLIP,RANDOM
6,29083002,500,NONE,100,PRICE,RANDOM
68,29206190,500,BIAS_BOX,200,ALWAYS_BUY,RANDOM
83,29206298,500,BIAS_BOX,400,PRICE,WATTS
98,29272616,500,BIAS_BOX,700,ALWAYS_BUY,RANDOM
113,29275522,500,BIAS_BOX,900,PRICE,WATTS
128,30042428,500,FAV_PLAYER,200,ALWAYS_BUY,RANDOM
143,30042525,500,FAV_PLAYER,400,PRICE,WATTS
158,30146929,500,FAV_PLAYER,700,ALWAYS_BUY,RANDOM
186,29919384,500,FREE_BOX,100,PRICE,RANDOM
201,29946082,500,FREE_BOX,400,COIN_FLIP,WATTS
216,29946290,500,FREE_BOX,600,PRICE,RANDOM
231,30110395,500,FREE_BOX,900,COIN_FLIP,WATTS
246,30110948,500,LIM_ED,100,PRICE,RANDOM
261,30133352,500,LIM_ED,400,COIN_FLIP,WATTS
274,29115014,500,LIM_ED,600,COIN_FLIP,RANDOM
